Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric",-137.968750,-96.043750,0.000000,bottom
"C2","22pF","C_0805_2012Metric",-137.968750,-87.312500,180.000000,bottom
"C3","1uF","C_0805_2012Metric",-120.000000,-80.962500,180.000000,bottom
"C4","1uF","C_0805_2012Metric",-110.331250,-87.168750,270.000000,bottom
"C5","1uF","C_0805_2012Metric",-110.331250,-95.250000,90.000000,bottom
"C6","1uF","C_0805_2012Metric",-128.587500,-98.281250,90.000000,bottom
"C7","1uF","C_0805_2012Metric",-134.937500,-86.375000,270.000000,bottom
"D1","SOD-123","D_SOD-123",-34.987500,-38.100000,180.000000,bottom
"D2","SOD-123","D_SOD-123",-60.325000,-35.718750,90.000000,bottom
"D3","SOD-123","D_SOD-123",-79.375000,-35.781250,90.000000,bottom
"D4","SOD-123","D_SOD-123",-98.425000,-35.781250,90.000000,bottom
"D5","SOD-123","D_SOD-123",-117.475000,-35.718750,90.000000,bottom
"D6","SOD-123","D_SOD-123",-136.525000,-35.718750,90.000000,bottom
"D7","SOD-123","D_SOD-123",-155.575000,-35.781250,90.000000,bottom
"D8","SOD-123","D_SOD-123",-174.625000,-35.718750,90.000000,bottom
"D9","SOD-123","D_SOD-123",-193.675000,-35.718750,90.000000,bottom
"D10","SOD-123","D_SOD-123",-212.725000,-35.718750,90.000000,bottom
"D11","SOD-123","D_SOD-123",-231.775000,-35.718750,90.000000,bottom
"D12","SOD-123","D_SOD-123",-234.950000,-35.718750,90.000000,bottom
"D13","SOD-123","D_SOD-123",-40.481250,-56.356250,180.000000,bottom
"D14","SOD-123","D_SOD-123",-65.087500,-54.768750,90.000000,bottom
"D15","SOD-123","D_SOD-123",-84.137500,-54.831250,90.000000,bottom
"D16","SOD-123","D_SOD-123",-103.187500,-54.831250,90.000000,bottom
"D17","SOD-123","D_SOD-123",-122.237500,-54.831250,90.000000,bottom
"D18","SOD-123","D_SOD-123",-141.287500,-54.831250,90.000000,bottom
"D19","SOD-123","D_SOD-123",-160.337500,-54.768750,90.000000,bottom
"D20","SOD-123","D_SOD-123",-179.387500,-54.831250,90.000000,bottom
"D21","SOD-123","D_SOD-123",-198.437500,-54.768750,90.000000,bottom
"D22","SOD-123","D_SOD-123",-217.487500,-54.831250,90.000000,bottom
"D23","SOD-123","D_SOD-123",-236.537500,-54.768750,90.000000,bottom
"D24","SOD-123","D_SOD-123",-46.037500,-73.881250,90.000000,bottom
"D25","SOD-123","D_SOD-123",-69.850000,-73.881250,90.000000,bottom
"D26","SOD-123","D_SOD-123",-88.900000,-73.881250,90.000000,bottom
"D27","SOD-123","D_SOD-123",-107.950000,-73.881250,90.000000,bottom
"D28","SOD-123","D_SOD-123",-127.000000,-73.881250,90.000000,bottom
"D29","SOD-123","D_SOD-123",-146.050000,-73.818750,90.000000,bottom
"D30","SOD-123","D_SOD-123",-165.100000,-73.881250,90.000000,bottom
"D31","SOD-123","D_SOD-123",-184.150000,-73.881250,90.000000,bottom
"D32","SOD-123","D_SOD-123",-203.200000,-73.881250,90.000000,bottom
"D33","SOD-123","D_SOD-123",-222.250000,-73.881250,90.000000,bottom
"D34","SOD-123","D_SOD-123",-241.300000,-73.881250,90.000000,bottom
"D35","SOD-123","D_SOD-123",-260.350000,-73.881250,90.000000,bottom
"D36","SOD-123","D_SOD-123",-55.562500,-92.868750,90.000000,bottom
"D37","SOD-123","D_SOD-123",-79.375000,-92.931250,90.000000,bottom
"D38","SOD-123","D_SOD-123",-160.337500,-92.931250,90.000000,bottom
"D39","SOD-123","D_SOD-123",-222.250000,-92.868750,90.000000,bottom
"D40","SOD-123","D_SOD-123",-246.062500,-92.868750,90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",-38.893750,-37.912500,90.000000,bottom
"R1","10k","R_0805_2012Metric",-48.418750,-38.243750,90.000000,bottom
"R2","22","R_0805_2012Metric",-43.656250,-38.243750,90.000000,bottom
"R3","22","R_0805_2012Metric",-41.277750,-38.243750,90.000000,bottom
"R4","10k","R_0805_2012Metric",-46.037500,-38.243750,270.000000,bottom
"SW1","SW_Push","SKQG-1155865",-61.912500,-26.987500,0.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",-120.506250,-91.275000,270.000000,bottom
"USB1","Molex-0548190589","Molex-0548190589",-42.068750,-25.400000,270.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-138.056250,-91.587500,90.000000,bottom
